Resultats per municipi - 2017

;;;;;;;;;;;;;;;;Ciutadans-Partido de la Ciudadanía (C's);;Junts per Catalunya (JUNTSxCAT);;Esquerra Republicana-Catalunya Sí (ERC-CatSí);;Partit dels Socialistes de Catalunya (PSC-PSOE) (PSC);;Catalunya en Comú-Podem (CatComú-Podem);;Candidatura d'Unitat Popular (CUP);;Partit Popular / Partido Popular (PP);;Partit Animalista contra el Maltractament Animal (PACMA);;Recortes Cero-Grupo Verde (RECORTES CERO-GRUPO VERDE);;Per un Món Més Just (PU M+J);;Diàleg Republicà (Candidatura retirada) (DIÀLEG (C. RETIRADA));;
Codi circumscripció;Codi municipi;Nom municipi;Cens electoral;Votants;% votants;Abstenció;% abstenció;Vots nuls;% vots nuls;Vots en blanc;% vots en blanc; Vots a candidatures;% vots a candidatures;Vots vàlids;% vots vàlids;Vots;%;Vots;%;Vots;%;Vots;%;Vots;%;Vots;%;Vots;%;Vots;%;Vots;%;Vots;%;Vots;%;Codi comarca;Nom comarca;
08;029;Cabrera de Mar                                    ;     3.528;     3.140;089,00;       388;011,00;        10;000,32;        17;000,54;     3.113;099,14;     3.130;099,68;       548;017,51;     1.189;037,99;       717;022,91;       270;008,63;       149;004,76;       128;004,09;        92;002,94;        18;000,58;         2;000,06;         0;000,00;         0;000,00;21;Maresme                                 ;
08;030;Cabrils                                           ;     5.129;     4.517;088,07;       612;011,93;         6;000,13;        12;000,27;     4.499;099,60;     4.511;099,87;       846;018,75;     1.719;038,11;     1.019;022,59;       367;008,14;       196;004,34;       201;004,46;       105;002,33;        41;000,91;         5;000,11;         0;000,00;         0;000,00;21;Maresme                                 ;
08;031;Calaf                                             ;     2.362;     2.018;085,44;       344;014,56;         7;000,35;         8;000,40;     2.003;099,26;     2.011;099,65;       272;013,53;       814;040,48;       482;023,97;       173;008,60;        85;004,23;        84;004,18;        82;004,08;         8;000,40;         3;000,15;         0;000,00;         0;000,00;06;Anoia                                   ;
08;032;Caldes d'Estrac                                   ;     2.013;     1.630;080,97;       383;019,03;         5;000,31;         3;000,18;     1.622;099,51;     1.625;099,69;       256;015,75;       503;030,95;       412;025,35;       194;011,94;       109;006,71;        87;005,35;        42;002,58;        14;000,86;         5;000,31;         0;000,00;         0;000,00;21;Maresme                                 ;
08;033;Caldes de Montbui                                 ;    13.010;    10.959;084,24;     2.051;015,76;        36;000,33;        52;000,47;    10.871;099,20;    10.923;099,67;     2.369;021,69;     2.592;023,73;     2.974;027,23;     1.199;010,98;       676;006,19;       619;005,67;       323;002,96;        99;000,91;        20;000,18;         0;000,00;         0;000,00;41;Vallès Oriental                         ;
08;034;Calders                                           ;       767;       672;087,61;        95;012,39;         4;000,60;         0;000,00;       668;099,40;       668;099,40;        55;008,23;       286;042,81;       201;030,09;        30;004,49;        17;002,54;        59;008,83;        13;001,95;         7;001,05;         0;000,00;         0;000,00;         0;000,00;42;Moianès                                 ;
08;035;Calella                                           ;    12.680;     9.928;078,30;     2.752;021,70;        37;000,37;        42;000,42;     9.849;099,20;     9.891;099,63;     2.135;021,59;     2.931;029,63;     2.413;024,40;       949;009,59;       515;005,21;       434;004,39;       364;003,68;        87;000,88;        21;000,21;         0;000,00;         0;000,00;21;Maresme                                 ;
08;036;Calonge de Segarra                                ;       166;       141;084,94;        25;015,06;         0;000,00;         1;000,71;       140;099,29;       141;100,00;         6;004,26;        96;068,09;        24;017,02;         6;004,26;         3;002,13;         5;003,55;         0;000,00;         0;000,00;         0;000,00;         0;000,00;         0;000,00;06;Anoia                                   ;
08;037;Calldetenes                                       ;     1.890;     1.675;088,62;       215;011,38;         2;000,12;         6;000,36;     1.667;099,52;     1.673;099,88;       118;007,05;       880;052,60;       427;025,52;        70;004,18;        38;002,27;       100;005,98;        28;001,67;         2;000,12;         4;000,24;         0;000,00;         0;000,00;24;Osona                                   ;
08;038;Callús                                            ;     1.512;     1.295;085,65;       217;014,35;         3;000,23;         8;000,62;     1.284;099,15;     1.292;099,77;       190;014,71;       501;038,78;       358;027,71;        80;006,19;        49;003,79;        76;005,88;        26;002,01;         4;000,31;         0;000,00;         0;000,00;         0;000,00;07;Bages                                   ;
